,ktest,p-value,p-value_adj,cluster
CCNB1,6.271308303844061,0.17978229412435826,0.4049150768566627,4
HIST1H103,0.9446536617497711,0.9180689306107952,1.0,4
ENSGALG00000040725,80.89894650265299,1.1234040542596972e-16,1.628121817767677e-15,1
TEC,3.9658997132102876,0.41064049268462355,0.774793382423818,1
MT-ATP8,3.9991853219581763,0.4061161156211337,0.7677053225352244,0
RRM2,11.622131223724576,0.020393949272246206,0.06265422203455055,1
ALAS1,68.72326244233042,4.221487057532788e-14,5.343654503206061e-13,0
DPYSL3,51.459310882975544,1.7895588342992552e-10,1.7374357614555875e-09,1
CHAC1,10.231074798502787,0.036710048810898496,0.10458703364928347,1
TARP,11.24602632531127,0.023933820521808022,0.07176557877603605,1
RPLP2,3.8969146612758254,0.4201366616150416,0.7889890358967917,4
