,ktest,p-value,p-value_adj,cluster
CCNC,11.883786639532747,0.018236708424426516,0.04622739778054884,0
GABPB1,0.12488577588774784,0.9981297310411571,1.0,2
BZFP1,5.9093480010423605,0.20602127684428181,0.38798733868979624,1
CYB5A,4.231735282814753,0.37555137807026845,0.6430993445955313,1
MPPED1,330.124176445229,3.4254403432849655e-70,1.245614670285442e-68,0
ATG9A,9.037446192289721,0.0601702890557213,0.13371175345715844,1
FBXO9,0.03611763727976568,0.99983888942367,1.0,1
NT5C2,2.412110560909518,0.6604398009549182,0.9678069144183175,1
TGS1,0.12840828569738716,0.998025046040009,1.0,2
MORN4,1.1253431997095997,0.890230661731924,1.0,1
ENSGALG00000014347,5.0794631354271536,0.27924083216643913,0.5045001484488512,4
SPEN,0.371672051927286,0.9847297972177631,1.0,1
GORASP1,0.7700386599066951,0.9424190671297383,1.0,1
PPP1R21,1.0499249229693923,0.9021335886692107,1.0,4
ENSGALG00000038652,225.60999663096695,1.1629821182640925e-47,2.7046095773583543e-46,0
TMLHE,30.550531950289987,3.780631704793788e-06,1.74222659207087e-05,1
CHMP5,2.9545915639605513,0.5654529275907743,0.8807677999856297,1
RPL7A,0.02412315646944679,0.9999278414409636,1.0,4
ENSGALG00000004928,61.78873786756131,1.2202816025897075e-12,8.654479450990833e-12,1
UNC50,5.212191621178017,0.2662099178996122,0.4846207557656437,1
MYC,8.582566477517044,0.07242364503046342,0.15795778632598348,1
EAF1,3.208689881973303,0.5235285258079708,0.8345305948127493,1
PM20D1,22.790911136715845,0.00013940521509275648,0.000523610450945149,2
MPI,5.7403189685324465,0.21939889498855225,0.409518469352048,1
